province_folder,year,ppt_annual,ppt_std,tmax_annual,tmax_max,tmin_annual,tmean_annual,province
lampung,2025,1143.664435897436,81.34673540630565,30.998427311085546,33.900000000000006,22.205643459915617,26.60203538550058,Lampung
maluku,2021,308.3249900186319,92.90199864292242,30.07267560230743,33.69999999999999,23.54516174640878,26.808918674358104,Maluku
maluku,2022,334.9381853872771,153.41783506603858,30.148176111299634,33.80000000000001,23.538533536930217,26.843354824114925,Maluku
maluku,2023,207.55325392600477,99.22806943951164,30.160988575952942,34.099999999999994,23.53191381065491,26.846451193303928,Maluku
maluku,2024,272.59676936385415,96.64360706077234,30.30959167514987,34.599999999999994,23.906294536817104,27.107943105983487,Maluku
maluku,2025,359.2282905243545,136.05554250929308,30.02476529804321,33.599999999999994,23.641655355728993,26.833210326886103,Maluku
maluku_utara,2021,336.8602601836591,72.6677466917467,30.63449200065974,33.400000000000006,22.967404750123706,26.800948375391723,Maluku Utara
maluku_utara,2022,332.5216152578291,64.71943691750118,30.554832591126505,33.400000000000006,22.90185964044203,26.72834611578427,Maluku Utara
maluku_utara,2023,232.44162349894043,74.40210091670431,30.886157842652153,34.5,23.196767276925616,27.041462559788883,Maluku Utara
maluku_utara,2024,307.24385448551925,86.2015866972346,30.864563747319814,33.5,23.381168563417454,27.122866155368634,Maluku Utara
maluku_utara,2025,365.01499293619025,71.87025792186435,30.52205178954313,33.400000000000006,23.219928253339933,26.870990021441532,Maluku Utara
nusa_tenggara_barat,2021,941.0769230769231,133.95492422988653,30.775816710031798,35.599999999999994,21.214924833766986,25.995370771899392,Nusa Tenggara Barat
nusa_tenggara_barat,2022,940.5115831842576,99.97605481289011,30.76172304134143,34.900000000000006,21.25989447817289,26.01080875975716,Nusa Tenggara Barat
nusa_tenggara_barat,2023,598.0386851520573,95.09756033771393,30.867165365712626,36.5,21.06110870193698,25.964137033824805,Nusa Tenggara Barat
nusa_tenggara_barat,2024,799.3263864042934,127.81396025610195,31.270150332466034,36.19999999999999,21.583694709453603,26.42692252095982,Nusa Tenggara Barat
nusa_tenggara_barat,2025,1055.093694096601,136.750357777455,30.76774356750506,35.30000000000001,21.329322058398386,26.048532812951724,Nusa Tenggara Barat
nusa_tenggara_timur,2021,408.6818509514629,125.97804360442483,30.61273311102878,35.900000000000006,21.836538224033596,26.22463566753119,Nusa Tenggara Timur
nusa_tenggara_timur,2022,418.1882303629809,117.7936245213189,30.53418241323947,35.30000000000001,21.793472891194273,26.163827652216874,Nusa Tenggara Timur
nusa_tenggara_timur,2023,278.3080559979881,111.08933221901167,30.558478448808206,35.5,21.59323823638385,26.075858342596028,Nusa Tenggara Timur
